year,    det/mc,                expt,              stream,                tier,files,events,size,TB,size/event,MB,,,,,,,,,,
ALL,  detector,                 ALL,                 ALL,        pandora_info,"202,181.00","17,546,936.00",114.60,TB,6.531,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                 ALL,        pandora_info,"202,181.00","17,546,936.00",114.60,TB,6.531,MB,,,,,,,,,,
ALL,  detector,                 ALL,             cosmics,   reco-recalibrated,"70,360.00","4,747,451.00",106.67,TB,22.47,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             cosmics,   reco-recalibrated,"70,360.00","4,747,451.00",106.67,TB,22.47,MB,,,,,,,,,,
ALL,  detector,  dc4-vd-coldbox-top,                 ALL,                 ALL,"32,516.00",0.00,102.97,TB,-1,MB,,,,,,,,,,
ALL,  detector,  dc4-vd-coldbox-top,                 ALL,                 raw,"32,516.00",0.00,102.97,TB,-1,MB,,,,,,,,,,
ALL,  detector,  dc4-vd-coldbox-top,                test,                 ALL,"32,516.00",0.00,102.97,TB,-1,MB,,,,,,,,,,
ALL,  detector,  dc4-vd-coldbox-top,                test,                 raw,"32,516.00",0.00,102.97,TB,-1,MB,,,,,,,,,,
ALL,  detector,                 ALL,               noise,                 ALL,"28,463.00","4,228,237.00",100.75,TB,23.827,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,               noise,                 ALL,"28,463.00","4,228,237.00",100.75,TB,23.827,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,                test,                 ALL,"38,132.00","4,147,915.00",86.57,TB,20.871,MB,,,,,,,,,,
ALL,  detector,          hd-coldbox,                 ALL,                 ALL,"21,153.00","1,984,997.00",79.89,TB,40.247,MB,,,,,,,,,,
ALL,  detector,          hd-coldbox,                 ALL,                 raw,"21,153.00","1,984,997.00",79.89,TB,40.247,MB,,,,,,,,,,
ALL,  detector,          hd-coldbox,                test,                 ALL,"21,153.00","1,984,997.00",79.89,TB,40.247,MB,,,,,,,,,,
ALL,  detector,          hd-coldbox,                test,                 raw,"21,153.00","1,984,997.00",79.89,TB,40.247,MB,,,,,,,,,,
ALL,        mc,                 ALL,             physics,                 ALL,"294,557.00","441,432,510.00",77.03,TB,0.175,MB,,,,,,,,,,
ALL,        mc,             neardet,                 ALL,                 ALL,"73,191.00","428,171,895.00",76.18,TB,0.178,MB,,,,,,,,,,
ALL,        mc,             neardet,             physics,                 ALL,"73,191.00","428,171,895.00",76.18,TB,0.178,MB,,,,,,,,,,
ALL,        mc,                 ALL,             physics,           simulated,"66,591.00","407,418,635.00",76.15,TB,0.187,MB,,,,,,,,,,
ALL,        mc,             neardet,                 ALL,           simulated,"66,591.00","407,418,635.00",76.15,TB,0.187,MB,,,,,,,,,,
ALL,        mc,             neardet,             physics,           simulated,"66,591.00","407,418,635.00",76.15,TB,0.187,MB,,,,,,,,,,
ALL,  detector,                 ALL,             physics,        pandora_info,"85,009.00","10,920,945.00",74.86,TB,6.854,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             physics,        pandora_info,"85,009.00","10,920,945.00",74.86,TB,6.854,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,        pandora_info,"1,074,313.00","32,344,511.00",68.27,TB,2.111,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out1,        pandora_info,"1,074,298.00","32,344,361.00",68.27,TB,2.111,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,                test,                 raw,"19,369.00","2,087,706.00",60.13,TB,28.8,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,                 ALL,        pandora_info,"741,263.00","9,516,920.00",57.37,TB,6.028,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,                out1,        pandora_info,"741,263.00","9,516,920.00",57.37,TB,6.028,MB,,,,,,,,,,
ALL,  detector,                 ALL,             cosmics,   hit-reconstructed,"27,730.00","1,988,889.00",50.31,TB,25.298,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                 ALL,                 ALL,"40,474.00","29,845,960.00",45.10,TB,1.511,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                out1,                 ALL,"40,474.00","29,845,960.00",45.10,TB,1.511,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             cosmics,   hit-reconstructed,"15,066.00","1,610,790.00",41.72,TB,25.899,MB,,,,,,,,,,
ALL,  detector,                 ALL,               noise,         decoded-raw,"10,485.00","1,496,271.00",40.34,TB,26.962,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,               noise,         decoded-raw,"10,485.00","1,496,271.00",40.34,TB,26.962,MB,,,,,,,,,,
ALL,  detector,                 ALL,             cosmics,         decoded-raw,"15,106.00","1,612,985.00",39.73,TB,24.628,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             cosmics,         decoded-raw,"15,106.00","1,612,985.00",39.73,TB,24.628,MB,,,,,,,,,,
ALL,  detector,                 ALL,             cosmics,        pandora_info,"116,561.00","6,569,899.00",39.36,TB,5.992,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,             cosmics,        pandora_info,"116,561.00","6,569,899.00",39.36,TB,5.992,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                 ALL,  full-reconstructed,"35,609.00","7,064,425.00",36.15,TB,5.118,MB,,,,,,,,,,
ALL,        mc,           fardet-hd,                out1,  full-reconstructed,"35,609.00","7,064,425.00",36.15,TB,5.118,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,                 ALL,  full-reconstructed,"24,223.00","2,659,169.00",33.66,TB,12.658,MB,,,,,,,,,,
ALL,  detector,                 ALL,               noise,                 raw,"5,694.00","971,277.00",29.77,TB,30.649,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,               noise,                 raw,"5,694.00","971,277.00",29.77,TB,30.649,MB,,,,,,,,,,
ALL,  detector,   vd-coldbox-bottom,                 ALL,                 ALL,"6,691.00","1,125,122.00",26.84,TB,23.858,MB,,,,,,,,,,
ALL,  detector,   vd-coldbox-bottom,                 ALL,                 raw,"6,691.00","1,125,122.00",26.84,TB,23.858,MB,,,,,,,,,,
ALL,  detector,   vd-coldbox-bottom,                test,                 ALL,"6,691.00","1,125,122.00",26.84,TB,23.858,MB,,,,,,,,,,
ALL,  detector,   vd-coldbox-bottom,                test,                 raw,"6,691.00","1,125,122.00",26.84,TB,23.858,MB,,,,,,,,,,
ALL,  detector,      vd-coldbox-top,                test,  full-reconstructed,"18,763.00","2,060,209.00",26.45,TB,12.837,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,          root-tuple,"700,124.00","79,153,103.00",26.34,TB,0.333,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out1,          root-tuple,"700,085.00","74,787,040.00",26.07,TB,0.349,MB,,,,,,,,,,
ALL,  detector,                 ALL,                test,   hit-reconstructed,"12,141.00","3,387,283.00",23.84,TB,7.039,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                test,   hit-reconstructed,"12,141.00","3,387,283.00",23.84,TB,7.039,MB,,,,,,,,,,
ALL,  detector,                 ALL,                test,         decoded-raw,"10,563.00","3,144,120.00",22.30,TB,7.092,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                test,         decoded-raw,"10,563.00","3,144,120.00",22.30,TB,7.092,MB,,,,,,,,,,
ALL,  detector,                 ALL,                out1,                 ALL,"4,025.00","463,437.00",21.27,TB,45.897,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                out1,                 ALL,"4,025.00","463,437.00",21.27,TB,45.897,MB,,,,,,,,,,
ALL,  detector,                 ALL,                out1,         decoded-raw,"4,022.00","463,437.00",21.27,TB,45.891,MB,,,,,,,,,,
ALL,  detector,        protodune-sp,                out1,         decoded-raw,"4,022.00","463,437.00",21.27,TB,45.891,MB,,,,,,,,,,
ALL,        mc,                 ALL,                 ALL,   reco-recalibrated,"5,595.00","55,950.00",19.68,TB,351.699,MB,,,,,,,,,,
ALL,        mc,                 ALL,                out1,   reco-recalibrated,"5,595.00","55,950.00",19.68,TB,351.699,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,                 ALL,   reco-recalibrated,"5,595.00","55,950.00",19.68,TB,351.699,MB,,,,,,,,,,
ALL,        mc,        protodune-sp,                out1,   reco-recalibrated,"5,595.00","55,950.00",19.68,TB,351.699,MB,,,,,,,,,,
ALL,  detector,                 ALL,               noise,  full-reconstructed,"1,810.00","265,003.00",15.72,TB,59.334,MB,,,,,,,,,,
