"MachineAttrGLIDEIN_DUNESite0: Descending","@timestamp per month",filters,"Sum of SlotHours"
CERN,1675231200000,Production,"987.5113611111111"
CERN,1675231200000,MARS,0
CERN,1675231200000,Total,"38973.91766152778"
CERN,1677650400000,Analysis,"89005.50831916666"
CERN,1677650400000,Production,"592.4275"
CERN,1677650400000,MARS,0
CERN,1677650400000,Total,"89597.93581916667"
CERN,1680325200000,Analysis,"132081.23500305557"
CERN,1680325200000,Production,"1946.4833333333333"
CERN,1680325200000,MARS,0
CERN,1680325200000,Total,"134027.71833638888"
CERN,1682917200000,Analysis,"37254.23815208334"
CERN,1682917200000,Production,"275.96534722222225"
CERN,1682917200000,MARS,0
CERN,1682917200000,Total,"37530.20349930556"
CERN,1685595600000,Analysis,"12266.465585555556"
CERN,1685595600000,Production,"8752.918472222222"
CERN,1685595600000,MARS,0
CERN,1685595600000,Total,"21019.384057777777"
CERN,1688187600000,Analysis,"34838.35263069444"
CERN,1688187600000,Production,"47678.00472222222"
CERN,1688187600000,MARS,0
CERN,1688187600000,Total,"82516.35735291668"
CERN,1690866000000,Analysis,"36896.436746666666"
CERN,1690866000000,Production,"296883.8694444444"
CERN,1690866000000,MARS,0
CERN,1690866000000,Total,"333780.3061911111"
CERN,1693544400000,Analysis,"39779.916430694444"
CERN,1693544400000,Production,"80963.92604166667"
CERN,1693544400000,MARS,0
CERN,1693544400000,Total,"120743.84247236111"
CERN,1696136400000,Analysis,"67592.30826888888"
CERN,1696136400000,Production,"1275.1973611111111"
CERN,1696136400000,MARS,0
CERN,1696136400000,Total,"68867.50563"
CERN,1698814800000,Analysis,"50060.448942083334"
CERN,1698814800000,Production,"11577.568333333333"
CERN,1698814800000,MARS,0
CERN,1698814800000,Total,"61638.01727541667"
"UK_RAL-PPD",1641016800000,Analysis,"39055.67942888889"
"UK_RAL-PPD",1641016800000,Production,"316556.07766666665"
"UK_RAL-PPD",1641016800000,MARS,0
"UK_RAL-PPD",1641016800000,Total,"355611.75709555554"
"UK_RAL-PPD",1643695200000,Analysis,"93552.12857222222"
"UK_RAL-PPD",1643695200000,Production,"44511.32529166667"
"UK_RAL-PPD",1643695200000,MARS,0
"UK_RAL-PPD",1643695200000,Total,"138063.4538638889"
"UK_RAL-PPD",1646114400000,Analysis,"57200.86974847222"
"UK_RAL-PPD",1646114400000,Production,"5436.115847222222"
"UK_RAL-PPD",1646114400000,MARS,0
"UK_RAL-PPD",1646114400000,Total,"62636.985595694445"
"UK_RAL-PPD",1648789200000,Analysis,"26419.027921527777"
"UK_RAL-PPD",1648789200000,Production,"4792.384305555555"
"UK_RAL-PPD",1648789200000,MARS,0
"UK_RAL-PPD",1648789200000,Total,"31211.412227083332"
"UK_RAL-PPD",1651381200000,Analysis,"38928.72651069445"
"UK_RAL-PPD",1651381200000,Production,"4501.854305555556"
"UK_RAL-PPD",1651381200000,MARS,0
"UK_RAL-PPD",1651381200000,Total,"43430.58081625"
"UK_RAL-PPD",1654059600000,Analysis,"94310.76282291666"
"UK_RAL-PPD",1654059600000,Production,"25411.810486111113"
"UK_RAL-PPD",1654059600000,MARS,0
"UK_RAL-PPD",1654059600000,Total,"119722.57330902778"
"UK_RAL-PPD",1656651600000,Analysis,"102876.09728055555"
"UK_RAL-PPD",1656651600000,Production,"12826.197694444445"
"UK_RAL-PPD",1656651600000,MARS,0
"UK_RAL-PPD",1656651600000,Total,"115702.294975"
"UK_RAL-PPD",1659330000000,Analysis,"46200.31578208333"
